,event,date,place
257,rains,25-07-2023,
258,rains,25-07-2023,
259,,24-07-2023,
260,,23-07-2023,
261,flood,20-07-2023,
262,,17-07-2023,
263,rains,12-07-2023,
264,flood,11-07-2023,
265,rains,10-07-2023,
266,rains,10-07-2023,
267,rains,10-07-2023,
268,rains,07-07-2023,
269,rains,07-07-2023,
270,,06-07-2023,
271,flood,05-07-2023,
272,,03-07-2023,
273,,02-07-2023,
274,,27-06-2023,
275,glof,25-06-2023,
276,,22-06-2023,
277,,16-06-2023,
278,,15-06-2023,
279,,15-06-2023,
280,,15-06-2023,
281,,15-06-2023,
282,,15-06-2023,
283,,14-06-2023,
284,,13-06-2023,
285,,13-06-2023,
286,,12-06-2023,
287,cyclonic,12-06-2023,
288,,11-06-2023,
289,,10-06-2023,
290,,09-06-2023,
291,,09-06-2023,
292,,09-06-2023,
293,,09-06-2023,
294,,09-06-2023,
295,,09-06-2023,
296,,09-06-2023,
297,,30-05-2023,
298,,21-05-2023,
299,,16-05-2023,
300,,27-03-2023,
301,,27-03-2023,
302,,27-03-2023,
303,,19-02-2023,
304,,07-02-2023,
305,,09-01-2023,
306,,18-11-2022,
307,,16-11-2022,
308,,03-11-2022,
309,flood,07-10-2022,
310,flood,13-09-2022,
311,,09-09-2022,
312,,03-09-2022,
313,flood,29-08-2022,
314,flood,27-08-2022,
315,flood,26-08-2022,
316,flood,26-08-2022,
317,,23-08-2022,
318,flood,21-08-2022,
319,,21-08-2022,rivers
320,flood,20-08-2022,
321,,19-08-2022,
322,flood,17-08-2022,
323,,17-08-2022,
324,,13-08-2022,
325,flood,11-08-2022,
326,,10-08-2022,rivers
327,,08-08-2022,
328,,05-08-2022,
329,flood,28-07-2022,
330,,26-07-2022,
331,,25-07-2022,
332,,25-07-2022,
333,,25-07-2022,
334,,25-07-2022,
335,,25-07-2022,
336,,25-07-2022,
337,,25-07-2022,
338,,25-07-2022,
339,,25-07-2022,
340,,25-07-2022,
341,,25-07-2022,
342,,06-05-2022,
343,,15-03-2022,
344,,04-03-2022,
345,,21-02-2022,
346,,01-02-2022,
347,,19-01-2022,
348,,16-01-2022,
349,cyclone,30-09-2021,
350,cyclone,28-09-2021,
351,cyclone,29-09-2021,
352,,28-09-2021,
353,,26-09-2021,
354,,19-09-2021,
355,,07-09-2021,
356,,19-07-2021,
357,,19-07-2021,
358,,19-07-2021,
359,,15-07-2021,
360,flood,12-07-2021,
361,,12-07-2021,
362,,08-07-2021,
363,,01-07-2021,
364,,09-06-2021,
365,,17-05-2021,
366,,15-05-2021,
367,,11-05-2021,
368,,13-04-2021,
369,,04-04-2021,
370,,30-03-2021,
371,,18-03-2021,
372,,01-01-2021,
373,,26-12-2020,
374,,23-12-2020,
375,,23-12-2020,
376,,23-12-2020,
377,,15-09-2020,
378,flood,15-09-2020,
379,,15-09-2020,
380,,15-09-2020,
381,glof,15-09-2020,
